"","V3","n","hgnc_symbol"
"275","ENSG00000065613",1,"SLK"
"276","ENSG00000065970",2,"FOXJ2"
"277","ENSG00000065978",11,"YBX1"
"278","ENSG00000065989",1,"PDE4A"
"279","ENSG00000066044",9,"ELAVL1"
"280","ENSG00000066135",2,"KDM4A"
"281","ENSG00000066136",1,"NFYC"
"282","ENSG00000066279",5,"ASPM"
"283","ENSG00000066422",1,"ZBTB11"
"284","ENSG00000066468",4,"FGFR2"
"285","ENSG00000066855",1,"MTFR1"
"286","ENSG00000067057",3,"PFKP"
"287","ENSG00000067066",1,"SP100"
"288","ENSG00000067082",7,"KLF6"
"289","ENSG00000067141",3,"NEO1"
"290","ENSG00000067167",2,"TRAM1"
"291","ENSG00000067182",3,"TNFRSF1A"
"292","ENSG00000067225",13,"PKM"
"293","ENSG00000067369",2,"TP53BP1"
"294","ENSG00000067560",16,"RHOA"
"295","ENSG00000067596",1,"DHX8"
"296","ENSG00000067606",1,"PRKCZ"
"297","ENSG00000067798",1,"NAV3"
"298","ENSG00000067900",12,"ROCK1"
"299","ENSG00000068001",2,"HYAL2"
"300","ENSG00000068024",4,"HDAC4"
"301","ENSG00000068028",4,"RASSF1"
"302","ENSG00000068078",7,"FGFR3"
"303","ENSG00000068079",1,"IFI35"
"304","ENSG00000068796",1,"KIF2A"
"305","ENSG00000068903",7,"SIRT2"
"306","ENSG00000069399",2,"BCL3"
"307","ENSG00000069535",2,"MAOB"
"308","ENSG00000069696",2,"DRD4"
"309","ENSG00000069869",4,"NEDD4"
"310","ENSG00000069974",2,"RAB27A"
"311","ENSG00000070018",4,"LRP6"
"312","ENSG00000070061",1,"ELP1"
"313","ENSG00000070159",1,"PTPN3"
"314","ENSG00000070214",2,"SLC44A1"
"315","ENSG00000070495",1,"JMJD6"
"316","ENSG00000070501",1,"POLB"
"317","ENSG00000070770",2,"CSNK2A2"
"318","ENSG00000070808",3,"CAMK2A"
"319","ENSG00000070814",1,"TCOF1"
"320","ENSG00000070831",4,"CDC42"
"321","ENSG00000070886",2,"EPHA8"
