"","V3","n","hgnc_symbol"
"228","ENSG00000038532",2,"CLEC16A"
"229","ENSG00000038945",25,"MSR1"
"230","ENSG00000039068",73,"CDH1"
"231","ENSG00000039139",1,"DNAH5"
"232","ENSG00000039523",1,"RIPOR1"
"233","ENSG00000039537",1,"C6"
"234","ENSG00000039560",1,"RAI14"
"235","ENSG00000040199",3,"PHLPP2"
"236","ENSG00000040608",1,"RTN4R"
"237","ENSG00000040933",1,"INPP4A"
"238","ENSG00000041353",2,"RAB27B"
"239","ENSG00000041982",4,"TNC"
"240","ENSG00000042317",1,"SPATA7"
"241","ENSG00000042429",1,"MED17"
"242","ENSG00000042493",2,"CAPG"
"243","ENSG00000042980",1,"ADAM28"
"244","ENSG00000043093",1,"DCUN1D1"
"245","ENSG00000043143",1,"JADE2"
"246","ENSG00000044012",1,"GUCA2B"
"247","ENSG00000044090",1,"CUL7"
"248","ENSG00000044115",2,"CTNNA1"
"249","ENSG00000044524",4,"EPHA3"
"250","ENSG00000044574",26,"HSPA5"
"251","ENSG00000046604",1,"DSG2"
"252","ENSG00000046774",1,"MAGEC2"
"253","ENSG00000047056",1,"WDR37"
"254","ENSG00000047315",1,"POLR2B"
"255","ENSG00000047410",1,"TPR"
"256","ENSG00000047457",2,"CP"
"257","ENSG00000047578",1,"KIAA0556"
"258","ENSG00000047644",1,"WWC3"
"259","ENSG00000047648",1,"ARHGAP6"
"260","ENSG00000047849",1,"MAP4"
"261","ENSG00000047936",1,"ROS1"
"262","ENSG00000048140",1,"TSPAN17"
"263","ENSG00000048392",3,"RRM2B"
"264","ENSG00000048471",1,"SNX29"
"265","ENSG00000048545",1,"GUCA1A"
"266","ENSG00000048649",1,"RSF1"
"267","ENSG00000048828",1,"FAM120A"
"268","ENSG00000049239",1,"H6PD"
"269","ENSG00000049246",3,"PER3"
"270","ENSG00000049323",1,"LTBP1"
"271","ENSG00000049449",3,"RCN1"
"272","ENSG00000049618",1,"ARID1B"
"273","ENSG00000049656",1,"CLPTM1L"
"274","ENSG00000049759",3,"NEDD4L"
"275","ENSG00000049768",8,"FOXP3"
"276","ENSG00000049860",1,"HEXB"
"277","ENSG00000050165",8,"DKK3"
"278","ENSG00000050405",5,"LIMA1"
"279","ENSG00000050628",2,"PTGER3"
"280","ENSG00000050748",5,"MAPK9"
"281","ENSG00000050767",2,"COL23A1"
"282","ENSG00000050820",6,"BCAR1"
"283","ENSG00000051180",5,"RAD51"
"284","ENSG00000051382",4,"PIK3CB"
"285","ENSG00000051523",1,"CYBA"
"286","ENSG00000051620",1,"HEBP2"
"287","ENSG00000052344",4,"PRSS8"
"288","ENSG00000052841",1,"TTC17"
"289","ENSG00000052850",1,"ALX4"
"290","ENSG00000053254",1,"FOXN3"
"291","ENSG00000053371",1,"AKR7A2"
"292","ENSG00000053747",3,"LAMA3"
"293","ENSG00000053900",1,"ANAPC4"
"294","ENSG00000053918",1,"KCNQ1"
"295","ENSG00000054118",2,"THRAP3"
"296","ENSG00000054179",1,"ENTPD2"
"297","ENSG00000054267",1,"ARID4B"
