"Entity1_id","numChemical","Ensembl.Id","Symbol"
"PA27121",5,"ENSG00000186115","CYP4F2"
"PA27512",5,"ENSG00000047579","DTNBP1"
"PA28063",5,"ENSG00000143226","FCGR2A"
"PA28130",5,"ENSG00000160867","FGFR4"
"PA28183",5,"ENSG00000037280","FLT4"
"PA28976",5,"ENSG00000149403","GRIK4"
"PA29973",5,"ENSG00000125877","ITPA"
"PA30049",5,"ENSG00000157542","KCNJ6"
"PA30128",5,"ENSG00000157404","KIT"
"PA30889",5,"ENSG00000100985","MMP9"
"PA311",5,"ENSG00000142319","SLC6A3"
"PA31111",5,"ENSG00000156738","MS4A1"
"PA31465",5,"ENSG00000100365","NCF4"
"PA31534",5,"ENSG00000049759","NEDD4L"
"PA33392",5,"ENSG00000124181","PLCG1"
"PA337",5,"ENSG00000168610","STAT3"
"PA33745",5,"ENSG00000162409","PRKAA2"
"PA33765",5,"ENSG00000171132","PRKCE"
"PA34375",5,"ENSG00000117152","RGS4"
"PA35004",5,"ENSG00000136531","SCN2A"
"PA35041",5,"ENSG00000108821","COL1A1"
"PA36249",5,"ENSG00000088002","SULT2B1"
"PA369",5,"ENSG00000073050","XRCC1"
"PA38478",5,"ENSG00000197891","SLC22A12"
"PA61",5,"ENSG00000149311","ATM"
"PA80",5,"ENSG00000168398","BDKRB2"
"PA114",4,"ENSG00000175344","CHRNA7"
"PA122",4,"ENSG00000160870","CYP3A7"
"PA128394577",4,"ENSG00000073792","IGF2BP2"
"PA134882361",4,"ENSG00000129625","REEP5"
"PA134888949",4,"ENSG00000141428","C18orf21"
"PA134920089",4,"ENSG00000158089","GALNT14"
"PA134980674",4,"ENSG00000129667","RHBDF2"
"PA142672156",4,"ENSG00000117877","CD3EAP"
"PA155",4,"ENSG00000012061","ERCC1"
"PA164722409",4,"","MIR1264"
"PA164722546",4,"","MIR1912"
"PA202",4,"ENSG00000171105","INSR"
"PA229",4,"ENSG00000116678","LEPR"
"PA24392",4,"ENSG00000124574","ABCC10"
"PA24572",4,"ENSG00000248144","ADH1C"
"PA248",4,"ENSG00000109320","NFKB1"
"PA24888",4,"ENSG00000110243","APOA5"
"PA249",4,"ENSG00000239672","NME1"
"PA250",4,"ENSG00000011052,ENSG00000243678","NME2"
"PA25302",4,"ENSG00000171791","BCL2"
"PA25412",4,"ENSG00000139618","BRCA2"
"PA26087",4,"ENSG00000164305","CASP3"
"PA261",4,"ENSG00000106366","SERPINE1"
"PA26874",4,"ENSG00000120088,ENSG00000226460","CRHR1"
"PA26947",4,"ENSG00000183117","CSMD1"
"PA26963",4,"ENSG00000173546","CSPG4"
"PA27094",4,"ENSG00000138061","CYP1B1"
"PA27829",4,"ENSG00000143819","EPHX1"
"PA27847",4,"ENSG00000178568","ERBB4"
"PA27848",4,"ENSG00000104884","ERCC2"
"PA28064",4,"ENSG00000072694","FCGR2B"
"PA28128",4,"ENSG00000066468","FGFR2"
"PA28181",4,"ENSG00000122025","FLT3"
"PA28611",4,"ENSG00000084734","GCKR"
"PA28968",4,"ENSG00000125675","GRIA3"
"PA29016",4,"ENSG00000243955","GSTA1"
"PA29263",4,"ENSG00000010704","HFE"
"PA29349",4,"ENSG00000101076","HNF4A"
"PA29777",4,"ENSG00000073009","IKBKG"
"PA29778",4,"ENSG00000136634","IL10"
"PA298",4,"ENSG00000167325","RRM1"
"PA29862",4,"ENSG00000106348","IMPDH1"
"PA30782",4,"ENSG00000071073","MGAT4A"
"PA31",4,"ENSG00000087274","ADD1"
"PA31277",4,"ENSG00000124275","MTRR"
"PA31582",4,"ENSG00000131196","NFATC1"
"PA31601",4,"ENSG00000100906","NFKBIA"
"PA31751",4,"ENSG00000025434","NR1H3"
"PA31801",4,"ENSG00000076685","NT5C2"
"PA31818",4,"ENSG00000148053","NTRK2"
"PA321",4,"ENSG00000070915","SLC12A3"
"PA323",4,"ENSG00000088386","SLC15A1"
"PA328",4,"ENSG00000084453","SLCO1A2"
"PA33147",4,"ENSG00000134853","PDGFRA"
"PA33747",4,"ENSG00000131791","PRKAB2"
"PA33759",4,"ENSG00000154229","PRKCA"
"PA33809",4,"ENSG00000184500","PROS1"
"PA33942",4,"ENSG00000171862","PTEN"
"PA34163",4,"ENSG00000128340","RAC2"
"PA344",4,"ENSG00000213599,ENSG00000213648,ENSG00000261052","SULT1A3"
"PA35026",4,"ENSG00000117601","SERPINC1"
"PA35640",4,"ENSG00000007908","SELE"
"PA35826",4,"ENSG00000106688","SLC1A1"
"PA35848",4,"ENSG00000137204","SLC22A7"
"PA36124",4,"ENSG00000153037","SRP19"
"PA36552",4,"ENSG00000136869","TLR4"
"PA36610",4,"ENSG00000028137","TNFRSF1B"
"PA377",4,"ENSG00000172831","CES2"
"PA51",4,"ENSG00000130208","APOC1"
"PA98",4,"ENSG00000158825","CDA"
"PA128747823",3,"ENSG00000139287","TPH2"
"PA134",3,"ENSG00000179142","CYP11B2"
"PA134861073",3,"ENSG00000099812","MISP"
"PA134866684",3,"ENSG00000080224","EPHA6"
"PA134885765",3,"ENSG00000184557","SOCS3"
